author/headline,author/profile_url,author/username,full_urn,media/images/6/height,media/images/6/url,media/images/6/width,media/images/7/height,media/images/7/url,media/images/7/width,post_type,posted_at/date,posted_at/timestamp,reshared_post/media/images/1/height,reshared_post/media/images/1/url,reshared_post/media/images/1/width,reshared_post/media/images/2/height,reshared_post/media/images/2/url,reshared_post/media/images/2/width,reshared_post/media/images/3/height,reshared_post/media/images/3/url,reshared_post/media/images/3/width,stats/celebrate,stats/comments,stats/funny,stats/insight,stats/like,stats/love,stats/reposts,stats/support,stats/total_reactions,text,url,author/full_name,processed_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7381531316351234048,,,,,,,regular,2025-10-08 05:30:08,1759894208038,,,,,,,,,,5,128,1,28,628,30,9,10,702,"Why second-time founders move differently.

When I meet second-time founders in India, there is one consistent difference. They are ruthless about saying no.

First-time founders try to do it all. Launch in multiple cities at once. Chase every distribution partnership. Hire for functions they do not need yet.

Second-time founders cut faster. They know distraction is more dangerous than competition. One retail pilot at a time. One core SKU before the catalogue expands. They do not confuse activity with progress.

This discipline is not cynicism. It is clarity born from scar tissue.

If you want to think like a second-time founder, start asking yourself: what will I regret spending time on a year from now?



#india #startups#growth#future #inspiration #success",https://www.linkedin.com/posts/rishabhmariwala_india-inspiration-success-activity-7381531316351234048-xXMf?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,why secondtime founders move differently when i meet secondtime founders in india there is one consistent difference they are ruthless about saying no firsttime founders try to do it all launch in multiple cities at once chase every distribution partnership hire for functions they do not need yet secondtime founders cut faster they know distraction is more dangerous than competition one retail pilot at a time one core sku before the catalogue expands they do not confuse activity with progress this discipline is not cynicism it is clarity born from scar tissue if you want to think like a secondtime founder start asking yourself what will i regret spending time on a year from now india startupsgrowthfuture inspiration success,0.097,0.742,0.161,0.7671,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7380806524945731584,,,,,,,regular,2025-10-06 05:30:04,1759721404301,,,,,,,,,,2,84,0,4,260,11,3,7,284,"Founders often get caught up in being the first to launch. They race to grab headlines, close the initial round, and claim they are defining a category.

The truth is, being first rarely matters. What matters is being right.
India has shown this again and again.

The first e-commerce companies were not the ones that won. The first food delivery apps were not the ones that survived. The first D2C brands in categories like beauty or personal care are not the ones leading today.

Why? Because the market does not reward pioneers. It rewards those who execute, who adapt, who understand the customer deeply and scale patiently.

The founder who listens to their customer will always beat the founder who rushes to be early.

If you are spending more time worrying about competitors than about whether your customer is coming back, you are fighting the wrong battle.

First mover advantage is a headline. Real advantage comes from retention, insight, and execution.

So the question is not “Can I be the first?”
It is “Can I be the one that lasts?”


#india #entrepreneurship #strategy #future #success",https://www.linkedin.com/posts/rishabhmariwala_india-entrepreneurship-strategy-activity-7380806524945731584-mule?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,founders often get caught up in being the first to launch they race to grab headlines close the initial round and claim they are defining a category the truth is being first rarely matters what matters is being right india has shown this again and again the first ecommerce companies were not the ones that won the first food delivery apps were not the ones that survived the first dc brands in categories like beauty or personal care are not the ones leading today why because the market does not reward pioneers it rewards those who execute who adapt who understand the customer deeply and scale patiently the founder who listens to their customer will always beat the founder who rushes to be early if you are spending more time worrying about competitors than about whether your customer is coming back you are fighting the wrong battle first mover advantage is a headline real advantage comes from retention insight and execution so the question is not can i be the first it is can i be the one that lasts india entrepreneurship strategy future success,0.076,0.782,0.141,0.939,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7379719354130657280,,,,,,,regular,2025-10-03 05:30:02,1759462202580,,,,,,,,,,6,82,0,3,351,21,5,3,384,"The underrated moat: trust

In Indian consumer businesses, trust compounds faster than capital.

It is built quietly. Deliveries that reach smaller towns on time. Refunds that happen without a fight. Products that are consistent every single time.

We often celebrate blitzscaling. But the brands that become household names in India are the ones that customers feel safe to reorder from. Whether it is daily staples or premium experiences, trust drives repeat more than any campaign.

Trust does not show up on your P&L every quarter but it defines your P&L every decade.


#india #startups #trust #future #success #investing",https://www.linkedin.com/posts/rishabhmariwala_india-startups-trust-activity-7379719354130657280-dk1N?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the underrated moat trust in indian consumer businesses trust compounds faster than capital it is built quietly deliveries that reach smaller towns on time refunds that happen without a fight products that are consistent every single time we often celebrate blitzscaling but the brands that become household names in india are the ones that customers feel safe to reorder from whether it is daily staples or premium experiences trust drives repeat more than any campaign trust does not show up on your pl every quarter but it defines your pl every decade india startups trust future success investing,0.0,0.734,0.266,0.9842,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7378994607327625216,,,,,,,regular,2025-10-01 05:30:09,1759289409477,,,,,,,,,,3,89,0,6,563,39,9,13,624,"The founder’s real job is energy management.

We talk about capital management. Time management. Talent management.
But what I watch most closely is energy management.

In India, where building often feels like a marathon through roadblocks compliance, infrastructure, shifting consumer behaviour, the founder’s energy is the single biggest variable. If you stay calm through chaos, the team rallies. If you are frantic even in routine, the team cracks.

Energy is contagious. Investors sense it in reviews. Employees absorb it daily. Customers feel it in your brand voice.

The best founders treat their energy as an asset. They protect it, renew it, and deploy it with intention.

Where energy flows, everything else follows.


#india #startups #entrepreneurship #mindset #growth #productivity",https://www.linkedin.com/posts/rishabhmariwala_india-startups-entrepreneurship-activity-7378994607327625216-c3kU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the founders real job is energy management we talk about capital management time management talent management but what i watch most closely is energy management in india where building often feels like a marathon through roadblocks compliance infrastructure shifting consumer behaviour the founders energy is the single biggest variable if you stay calm through chaos the team rallies if you are frantic even in routine the team cracks energy is contagious investors sense it in reviews employees absorb it daily customers feel it in your brand voice the best founders treat their energy as an asset they protect it renew it and deploy it with intention where energy flows everything else follows india startups entrepreneurship mindset growth productivity,0.078,0.646,0.276,0.9805,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7378269847580741633,,,,,,,regular,2025-09-29 05:30:13,1759116613288,,,,,,,,,,2,83,0,13,390,16,1,10,431,"Consumer businesses in India take longer than people think.

Habits take time to form across geographies. Trust takes time to travel from metros to Tier 3 towns. Distribution takes time when every region has its own realities of logistics, payments, and culture.

The temptation is to declare success or failure too early. But I have seen businesses that looked flat in year two inflect in year five once trust and reach compounded. I have also seen others keep burning in hope when the customer signal was clearly missing.

The art is knowing which game you are in.

If you are building in consumer in India, the long game is not optional. It is the game.


#India #Startups #Consumer #Growth",https://www.linkedin.com/posts/rishabhmariwala_india-startups-consumer-activity-7378269847580741633-3JUb?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,consumer businesses in india take longer than people think habits take time to form across geographies trust takes time to travel from metros to tier towns distribution takes time when every region has its own realities of logistics payments and culture the temptation is to declare success or failure too early but i have seen businesses that looked flat in year two inflect in year five once trust and reach compounded i have also seen others keep burning in hope when the customer signal was clearly missing the art is knowing which game you are in if you are building in consumer in india the long game is not optional it is the game india startups consumer growth,0.037,0.805,0.157,0.9428,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7373921164190117888,,,,,,,regular,2025-09-17 05:30:06,1758079806373,,,,,,,,,,3,56,0,9,255,9,5,3,279,"The hidden cost of easy capital...

There is such a thing as money that comes too cheap, too soon.

In the last cycle, India saw D2C brands raise millions in seed and Series A rounds before unit economics were even tested. Teams grew faster than demand. Warehouses opened before product-market fit. Marketing spends ballooned while customer loyalty remained shallow.

Easy money makes everything look smooth. Until the cycle turns. Then habits built in abundance become liabilities in scarcity.

The founders who last are the ones who run the same way in both seasons. With focus. With frugality. With clarity.

Capital should not change your DNA. It should amplify it.


#india #startups #growth #mindset #strategy",https://www.linkedin.com/posts/rishabhmariwala_india-startups-growth-activity-7373921164190117888-HX1W?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the hidden cost of easy capital there is such a thing as money that comes too cheap too soon in the last cycle india saw dc brands raise millions in seed and series a rounds before unit economics were even tested teams grew faster than demand warehouses opened before productmarket fit marketing spends ballooned while customer loyalty remained shallow easy money makes everything look smooth until the cycle turns then habits built in abundance become liabilities in scarcity the founders who last are the ones who run the same way in both seasons with focus with frugality with clarity capital should not change your dna it should amplify it india startups growth mindset strategy,0.027,0.836,0.137,0.93,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7373196368250757120,,,,,,,regular,2025-09-15 05:30:01,1757907001555,,,,,,,,,,1,76,1,9,268,9,6,4,292,"The danger of chasing categories, not customers.

Every quarter, I meet founders who proudly say, “We are in the quick commerce space” or “We are building for D2C beauty.”

The label sounds good in a pitch room. But my first question is always the same. Who is your customer?

Because categories are investor constructs. Customers do not think in categories. They think in problems.

In India, I have seen founders chase “hot” tags like edtech or BNPL because capital was flowing, only to realise that retention and monetisation were weak once the initial hype wore off. 

At the same time, I have seen businesses solving everyday challenges like affordable protein or efficient distribution in Tier 2 towns not glamorous categories, but deeply needed. They scaled quietly, sustainably.

If your customer does not care about the category, then neither should you. Build for a person, not for a slide.


#india #startups #culture #ecosystem #growth #success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-culture-activity-7373196368250757120-BJPg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the danger of chasing categories not customers every quarter i meet founders who proudly say we are in the quick commerce space or we are building for dc beauty the label sounds good in a pitch room but my first question is always the same who is your customer because categories are investor constructs customers do not think in categories they think in problems in india i have seen founders chase hot tags like edtech or bnpl because capital was flowing only to realise that retention and monetisation were weak once the initial hype wore off at the same time i have seen businesses solving everyday challenges like affordable protein or efficient distribution in tier towns not glamorous categories but deeply needed they scaled quietly sustainably if your customer does not care about the category then neither should you build for a person not for a slide india startups culture ecosystem growth success,0.093,0.74,0.167,0.9053,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7372109206272966656,,,,,,,regular,2025-09-12 05:30:01,1757647801941,,,,,,,,,,1,72,0,14,204,6,2,1,226,"The real signal in customer feedback.

Founders love hearing customer praise. It feels good. It motivates. But from an investor’s seat, praise is noise.

The real signal is in behaviour. Does the customer come back without discounts? Do they refer others? Do they use your product daily or weekly, even without nudges?

In consumer, intent and action are often misaligned. People say they love a product. Then they stop using it two weeks later.

As a founder, train yourself to look past words. Study the data. Study repeat rates, retention curves, usage frequency.

The harshest truth in consumer is this: customers vote with their time and wallet, not their compliments.


#india #startups #customer #feedback",https://www.linkedin.com/posts/rishabhmariwala_india-startups-customer-activity-7372109206272966656-GeqB?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the real signal in customer feedback founders love hearing customer praise it feels good it motivates but from an investors seat praise is noise the real signal is in behaviour does the customer come back without discounts do they refer others do they use your product daily or weekly even without nudges in consumer intent and action are often misaligned people say they love a product then they stop using it two weeks later as a founder train yourself to look past words study the data study repeat rates retention curves usage frequency the harshest truth in consumer is this customers vote with their time and wallet not their compliments india startups customer feedback,0.082,0.766,0.152,0.8578,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7371399542006517760,,,,,,,regular,2025-09-10 06:30:04,1757478604795,,,,,,,,,,2,112,0,22,448,22,5,4,498,"Distribution before perfection.

Founders often wait until a product is “ready” before testing distribution.

The reality is the opposite. Distribution is what validates if a product should even exist.

I have seen average products succeed with strong distribution, and brilliant products fail because no one could access them.

In India, where channels are fragmented and habits vary across regions, distribution is half the battle.

Perfect products do not win. Reach does.


#india #startups #distribution #network #success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-distribution-activity-7371399542006517760-e74U?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,distribution before perfection founders often wait until a product is ready before testing distribution the reality is the opposite distribution is what validates if a product should even exist i have seen average products succeed with strong distribution and brilliant products fail because no one could access them in india where channels are fragmented and habits vary across regions distribution is half the battle perfect products do not win reach does india startups distribution network success,0.126,0.608,0.266,0.9418,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7370662136953442304,,,,,,,regular,2025-09-08 05:39:53,1757302793730,,,,,,,,,,0,68,0,10,195,6,4,2,213,"Global envy vs. local insight.
Many pitches I see borrow heavily from global playbooks. “This worked in the US, so it will work in India.”

Sometimes it translates. Most times it does not.

India is not one market. It is many. Urban and rural. North and South. Affluent and aspirational.

The founders who stand out are those who design for Indian nuance. Payment behaviours, family dynamics, trust gaps, regional preferences.

It is tempting to copy global winners. But real opportunity comes from solving what is uniquely ours.


#india #startups #mindset #strategy #success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-mindset-activity-7370662136953442304--ojk?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,global envy vs local insight many pitches i see borrow heavily from global playbooks this worked in the us so it will work in india sometimes it translates most times it does not india is not one market it is many urban and rural north and south affluent and aspirational the founders who stand out are those who design for indian nuance payment behaviours family dynamics trust gaps regional preferences it is tempting to copy global winners but real opportunity comes from solving what is uniquely ours india startups mindset strategy success,0.015,0.814,0.171,0.9437,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7369572496494284801,,,,,,,regular,2025-09-05 05:30:03,1757043003200,,,,,,,,,,1,89,0,18,368,21,6,5,413,"We talk a lot about product–market fit. Less about founder–market fit.

I see this often: highly capable founders building in categories they do not care about. They enter because the market looks big, not because they have conviction.

This shows up later in tough cycles. When things get hard, only deep founder conviction carries teams forward. Without it, pivots become endless, morale drops, and investors lose patience.

The best founders are not only solving large problems. They are solving problems that feel personal. That depth shows in how they think, how they hire, and how they sell.

Market size matters. But conviction is the multiplier.


#india #market #startups #growth #future",https://www.linkedin.com/posts/rishabhmariwala_india-market-startups-activity-7369572496494284801--9LV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,we talk a lot about productmarket fit less about foundermarket fit i see this often highly capable founders building in categories they do not care about they enter because the market looks big not because they have conviction this shows up later in tough cycles when things get hard only deep founder conviction carries teams forward without it pivots become endless morale drops and investors lose patience the best founders are not only solving large problems they are solving problems that feel personal that depth shows in how they think how they hire and how they sell market size matters but conviction is the multiplier india market startups growth future,0.108,0.788,0.105,0.3912,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7368847714232569857,,,,,,,regular,2025-09-03 05:30:01,1756870201643,,,,,,,,,,7,157,0,42,759,27,12,10,845,"Great founders are obsessed with distribution moats.

Every product can be copied. Every feature will be replicated.

What cannot be easily replicated is distribution.

The ability to reach customers cheaper, faster, and deeper than competitors.

In India, distribution moats look very different than in the West. It might be local supply chain networks. It might be a salesforce trusted in Tier-2 cities. It might be a loyalty loop built through cultural rituals.

When I evaluate consumer startups, I ask less about “what makes your product unique” and more about “what makes your distribution defensible.”

The product advantage will fade. Distribution advantage compounds.


#india #startups #future #culture #consumer",https://www.linkedin.com/posts/rishabhmariwala_india-startups-future-activity-7368847714232569857-G3w3?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,great founders are obsessed with distribution moats every product can be copied every feature will be replicated what cannot be easily replicated is distribution the ability to reach customers cheaper faster and deeper than competitors in india distribution moats look very different than in the west it might be local supply chain networks it might be a salesforce trusted in tier cities it might be a loyalty loop built through cultural rituals when i evaluate consumer startups i ask less about what makes your product unique and more about what makes your distribution defensible the product advantage will fade distribution advantage compounds india startups future culture consumer,0.032,0.797,0.171,0.9345,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7368122947603009537,,,,,,,regular,2025-09-01 05:30:03,1756697403813,,,,,,,,,,3,82,0,8,276,11,4,3,301,"The myth of “category creation.”

Every founder dreams of being a category creator. It sounds glamorous. It sounds like legacy.

But in reality, most categories are not created from scratch. They are reframed. They emerge from solving a real customer pain so well that people start seeing the problem differently.

Think about D2C in India. The strongest brands were not creating new needs. 

They were addressing existing ones in better, more relevant ways convenience, trust, design, distribution.

Category creation is not about press headlines. It is about changing behaviour. 

If your product is not altering habits, you are not building a new category. You are adding noise to an old one.


#india #startups #growth #mindset #success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-growth-activity-7368122947603009537-8Qij?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the myth of category creation every founder dreams of being a category creator it sounds glamorous it sounds like legacy but in reality most categories are not created from scratch they are reframed they emerge from solving a real customer pain so well that people start seeing the problem differently think about dc in india the strongest brands were not creating new needs they were addressing existing ones in better more relevant ways convenience trust design distribution category creation is not about press headlines it is about changing behaviour if your product is not altering habits you are not building a new category you are adding noise to an old one india startups growth mindset success,0.085,0.661,0.254,0.9745,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7367028243348094977,,,,,,,regular,2025-08-29 05:00:05,1756436405980,,,,,,,,,,5,92,0,42,788,29,9,6,870,"You can tell what stage a company is in by looking at how the founder spends their time.

In the early days, most of it goes into product. Sitting with customers, building features, fixing bugs.

At growth stage, it shifts toward team hiring, training, aligning.

Later, it becomes about capital, partnerships, and external leverage.

The mistake I see is when founders misalign their calendars. 

Seed-stage founders spending most of their week pitching investors instead of building. 

Series B founders still micromanaging features while culture slips through the cracks.

Your calendar is not just about time management. It is a strategy document. If it does not match your company’s stage, you are already behind.


#startups #entrepreneurship #strategy #growth #mindset #success",https://www.linkedin.com/posts/rishabhmariwala_startups-entrepreneurship-strategy-activity-7367028243348094977-7QVF?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,you can tell what stage a company is in by looking at how the founder spends their time in the early days most of it goes into product sitting with customers building features fixing bugs at growth stage it shifts toward team hiring training aligning later it becomes about capital partnerships and external leverage the mistake i see is when founders misalign their calendars seedstage founders spending most of their week pitching investors instead of building series b founders still micromanaging features while culture slips through the cracks your calendar is not just about time management it is a strategy document if it does not match your companys stage you are already behind startups entrepreneurship strategy growth mindset success,0.02,0.908,0.073,0.7579,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7366326134201794560,,,,,,,regular,2025-08-27 06:30:10,1756269010115,,,,,,,,,,3,78,0,13,279,8,9,3,306,"I see founders chase funding because “it’s available” or because “the market is hot.”

The problem is, when you raise before you are ready, the capital creates expectations you cannot meet. Suddenly you need to grow faster, hire senior talent, expand into new markets. But your product is still figuring out retention.

This mismatch between capital and capability is what breaks early-stage companies. The pressure pushes founders to make short-term decisions, cut corners, and burn trust with investors.

Here is the truth: there is nothing wrong with waiting. Waiting until your product has depth. Waiting until your early users stay without incentives. Waiting until your numbers tell a clear story.

Capital amplifies whatever is already there. If you are not yet ready, it amplifies chaos.


#india #startups #growth #mindset #success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-growth-activity-7366326134201794560-aoi1?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,i see founders chase funding because its available or because the market is hot the problem is when you raise before you are ready the capital creates expectations you cannot meet suddenly you need to grow faster hire senior talent expand into new markets but your product is still figuring out retention this mismatch between capital and capability is what breaks earlystage companies the pressure pushes founders to make shortterm decisions cut corners and burn trust with investors here is the truth there is nothing wrong with waiting waiting until your product has depth waiting until your early users stay without incentives waiting until your numbers tell a clear story capital amplifies whatever is already there if you are not yet ready it amplifies chaos india startups growth mindset success,0.093,0.702,0.205,0.9508,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7365593808094347264,,,,,,,regular,2025-08-25 06:00:09,1756094409965,,,,,,,,,,1,74,0,18,418,19,2,3,459,"When I ask a founder about burn, I am not only asking about numbers. I am asking about culture.

High burn often means two things: either lack of clarity on priorities or a belief that money will fix every problem.

On the other hand, teams that stretch every rupee, that show frugality in early years, usually carry that discipline into scale.

Capital is fuel, but culture is the engine. If the engine is weak, more fuel only creates a bigger fire.


#startups #finance #funding #future #success",https://www.linkedin.com/posts/rishabhmariwala_startups-finance-funding-activity-7365593808094347264-qG9X?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,when i ask a founder about burn i am not only asking about numbers i am asking about culture high burn often means two things either lack of clarity on priorities or a belief that money will fix every problem on the other hand teams that stretch every rupee that show frugality in early years usually carry that discipline into scale capital is fuel but culture is the engine if the engine is weak more fuel only creates a bigger fire startups finance funding future success,0.111,0.762,0.127,0.3809,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7364506615061897216,,,,,,,regular,2025-08-22 06:00:02,1755835202947,,,,,,,,,,3,91,1,11,339,20,1,8,382,"Every founder wants to “build a brand.” I hear it in almost every pitch.

But awareness without affinity is empty. People might know your name, but will they choose you when it matters?

In consumer categories, the strongest brands are built quietly. They win through repeat use, word-of-mouth, and emotional stickiness.

Big spends on advertising can get you awareness. Affinity takes years of consistent product truth.

Ask yourself: Do I want to be seen, or do I want to be chosen?


#india #startups #brand #growth #success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-brand-activity-7364506615061897216-pQAZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,every founder wants to build a brand i hear it in almost every pitch but awareness without affinity is empty people might know your name but will they choose you when it matters in consumer categories the strongest brands are built quietly they win through repeat use wordofmouth and emotional stickiness big spends on advertising can get you awareness affinity takes years of consistent product truth ask yourself do i want to be seen or do i want to be chosen india startups brand growth success,0.0,0.718,0.282,0.9783,Positive
